Item Code,Item Name,Unit,Group,Annual Requirement,Rate,Balance Stock
CIL/MM/11251,BRG/BALL/DG/6205/2RS,NO,Bearings,1470,420,687
CIL/MM/11336,BRG/BALL/DG/6308/ZZ/NBC,NO,Bearings,410,980,157
CIL/MM/11421,BRG/TAPER/ROLLER/30206/TIMKEN,NO,Bearings,560,690,351
CIL/MM/11506,BRG/THRUST/BALL/51110,NO,Bearings,320,1150,160
CIL/MM/11540,BRG/CYLINDRICAL/ROLLER/NU/220,NO,Bearings,140,8600,76
CIL/MM/11608,PIP/SMLS/CS/100NB/SCH40/IS/1239,MTS,Pipes and tubes,6100,1250,1910
CIL/MM/11659,PIP/SMLS/CS/150NB/SCH40/IS/1239,MTS,Pipes and tubes,3200,2180,844
CIL/MM/11744,PIP/ERW/GI/50NB/IS/1239/JINDAL,MTS,Pipes and tubes,11900,480,4378
CIL/MM/11829,PIP/HDPE/63MM/PN10/IS/4984,MTS,Pipes and tubes,31400,210,18839
CIL/MM/11931,VLV/GATE/WCB/100NB/CL150/FLGD/IS/14846,NO,Valves and fittings,260,18400,89
CIL/MM/12016,VLV/BALL/SS316/50NB/CL300/THD,NO,Valves and fittings,310,9600,98
CIL/MM/12101,VLV/BUTTERFLY/CI/200NB/PN16,NO,Valves and fittings,210,12900,98
CIL/MM/12186,ELBOW/SMLS/CS/90/100NB/SCH40,NO,Valves and fittings,980,1420,369
CIL/MM/12305,BLT/HEX/MS/M20X100/8.8/IS/1367,NO,Fasteners,39000,46,11382
CIL/MM/12356,BLT/HEX/MS/M16X75/8.8/IS/1367,NO,Fasteners,44000,31,17835
CIL/MM/12458,WSHR/SPRING/MS/M20/IS/3063,NO,Fasteners,41000,6,13655
CIL/MM/12543,BLT/FOUNDATION/MS/M24X600,NO,Fasteners,3100,385,867
CIL/MM/12645,CBL/XLPE/ARMD/AL/3CX240/SQMM/1.1KV/IS/7098,MTS,Electrical,9800,1180,3930
CIL/MM/12696,CBL/XLPE/ARMD/AL/3CX120/SQMM/1.1KV/IS/7098,MTS,Electrical,12100,640,5153
CIL/MM/12781,CBL/CU/FLEXIBLE/2CX2.5/SQMM/1.1KV,MTS,Electrical,24000,86,12792
CIL/MM/12883,RELAY/THERMAL/OVERLOAD/18-25A,NO,Electrical,460,1960,204
CIL/MM/12917,SWITCH/ISOLATOR/4P/63A/415V,NO,Electrical,380,4200,230
CIL/MM/12985,GSKT/SWG/SS316/GRAPHITE/100NB/CL150,NO,Gaskets and seals,1200,640,708
CIL/MM/13053,GSKT/CAF/3MM/100NB/CL150,NO,Gaskets and seals,3100,180,1888
CIL/MM/13138,ORING/NBR/50X3,NO,Gaskets and seals,6800,42,3033
CIL/MM/13206,MOT/IND/3PH/10HP/415V/B3,NO,Motors and drives,160,42000,66
CIL/MM/13274,MOT/IND/3PH/5.5KW/415V/B5,NO,Motors and drives,140,31000,87
CIL/MM/13359,GEARBOX/HELICAL/RATIO/20,NO,Motors and drives,52,68000,18
CIL/MM/13427,GAUGE/PRESSURE/DIAL/100MM/0-10BAR/SS316,NO,Instruments,540,2400,303
CIL/MM/13512,THERMOCOUPLE/K/6MM/500MM/SS316,NO,Instruments,290,3800,92
CIL/MM/13580,GAUGE/TEMPERATURE/DIAL/100MM/0-100C/SS304,NO,Instruments,340,2100,144
CIL/MM/13631,ANG/MS/50X50X6/IS/2062,KGS,Structural steel,96000,68,55679
CIL/MM/13716,CHANNEL/MS/100X50/IS/2062,KGS,Structural steel,58000,66,28026
CIL/MM/13750,BEAM/MS/ISMB/200/IS/2062,KGS,Structural steel,42000,71,24967
CIL/MM/13818,HLMT/SAFETY/IS/2925,NO,Safety and PPE,68000,340,30892
CIL/MM/13852,GLOVES/LEATHER/HAND/IS/6994,NO,Safety and PPE,126000,120,76908
CIL/MM/13903,GOGGLES/SAFETY/CLEAR/IS/5983,NO,Safety and PPE,31000,180,11925
CIL/MM/13954,SHOES/SAFETY/LEATHER/IS/15298,NO,Safety and PPE,34000,1240,9919
CIL/MM/14022,OIL/LUBE/VG46/210,LTR,Lubricants,19000,218,10045
CIL/MM/14107,GREASE/EP2/LITHIUM/18,KGS,Lubricants,7200,310,3796
CIL/MM/14141,OIL/TRANSFORMER/IS/335,LTR,Lubricants,11000,186,6115
CIL/MM/14209,ELCT/WELD/E6013/3.15MM,KGS,Welding,21000,96,8518
CIL/MM/14311,WIRE/MIG/ER70S-6/1.2MM,KGS,Welding,9400,112,5322
CIL/MM/14345,BRG/BALL/DG/6205/ZZ,NO,Bearings,640,405,188
CIL/MM/14430,MOT/IND/3PH/10HP/415V/B5/FLGD,NO,Motors and drives,95,44000,46
CIL/MM/14600,BULB/LED/12W/B22/6500K,NO,Electrical,14000,145,6671
CIL/MM/14651,PENSTOCK/CAST/IRON/300NB/MANUAL,NO,Valves and fittings,24,38000,10
CIL/MM/14736,SLEEVE/GUNMETAL/50MM,NO,Gaskets and seals,380,890,235
CIL/MM/14787,ROPE/ASBESTOS/FREE/GRAPHITE/10MM,KGS,Gaskets and seals,190,2100,65
CIL/MM/14838,GUMBOOT/SAFETY/PVC/STEEL/TOE/IS/5852,NO,Safety and PPE,6400,720,3069
CIL/MM/14957,SENSOR/LEVEL/FLOAT/230V/1NO/1NC,NO,Instruments,88,3400,39
