Material,Material Description,Base Unit of Measure,Material Group,Annual Qty,Moving Avg Price,Unrestricted Stock
41002400,BRG BALL DG 6205 2RS SKF,NOS,Bearings,1840,420,228
41002548,BRG BALL DG 6206 2RS,NOS,Bearings,960,510,181
41002733,BRG SPHERICAL ROLLER 22220 CC W33,NOS,Bearings,180,12400,39
41002844,BRG TAPER ROLLER 30206,NOS,Bearings,720,690,111
41002992,BRG THRUST BALL 51110,NOS,Bearings,290,1150,82
41003177,PIP SMLS CS 100NB SCH40 IS 1239,MTR,Pipes and tubes,14200,1250,3119
41003325,PIP SMLS CS 150NB SCH40 IS 1239,MTR,Pipes and tubes,8400,2180,1519
41003436,PIP SMLS CS 200NB SCH80 IS 1239,MTR,Pipes and tubes,3100,4650,471
41003621,TUBE SMLS SS304 25MM OD,MTR,Pipes and tubes,4200,890,823
41003806,TUBE CU 12MM OD,MTR,Pipes and tubes,1800,640,369
41003880,VLV GATE WCB 100NB CL150 FLGD IS 14846,NOS,Valves and fittings,620,18400,141
41004028,VLV GLOBE WCB 80NB CL150 FLGD IS 14846,NOS,Valves and fittings,340,14200,83
41004102,VLV BALL SS316 50NB CL300 THD,NOS,Valves and fittings,880,9600,152
41004398,VLV SAFETY RELIEF SS316 25NB CL300,NOS,Valves and fittings,190,34500,37
41004472,ELBOW SMLS CS 90 100NB SCH40,NOS,Valves and fittings,2400,1420,494
41004583,FLANGE CS 100NB CL150 WNRF IS 6392,NOS,Valves and fittings,3600,2260,555
41004694,BLT HEX MS M20X100 8.8 IS 1367,NOS,Fasteners,84000,46,22132
41004842,BLT HEX MS M16X75 8.8 IS 1367,NOS,Fasteners,96000,31,21772
41004953,NUT HEX MS M20 8.8 IS 1363,NOS,Fasteners,88000,14,15879
41005175,SCREW CSK MS M8X25,NOS,Fasteners,52000,9,11769
41005360,STUD BLT SS304 M16X90,NOS,Fasteners,14000,128,3503
41005434,CBL XLPE ARMD AL 3CX240 SQMM 1.1KV IS 7098,MTR,Electrical,12400,1180,1729
41005693,CBL XLPE UNARMD CU 4CX25 SQMM 1.1KV,MTR,Electrical,7600,920,2156
41005767,CBL CU FLEXIBLE 2CX2.5 SQMM 1.1KV,MTR,Electrical,42000,86,6230
41005878,CONTACTOR 3P 32A 415V,NOS,Electrical,1200,2840,310
41006100,SWITCH ISOLATOR 4P 63A 415V,NOS,Electrical,520,4200,88
41006174,GSKT SWG SS316 GRAPHITE 100NB CL150,NOS,Gaskets and seals,4800,640,660
41006322,GSKT SWG SS316 GRAPHITE 150NB CL150,NOS,Gaskets and seals,2200,980,403
41006470,SEAL OIL 45X65X10 NBR,NOS,Gaskets and seals,3200,240,511
41006581,ORING NBR 50X3,NOS,Gaskets and seals,12000,42,1553
41006655,MOT IND 3PH 10HP 415V B3,NOS,Motors and drives,180,42000,36
41006877,MOT IND 3PH 5.5KW 415V B5,NOS,Motors and drives,260,31000,66
41006951,PMP CENTRIF 50X32 15KW,NOS,Motors and drives,64,124000,9
41007136,GAUGE PRESSURE DIAL 100MM 0-10BAR SS316,NOS,Instruments,1400,2400,399
41007284,TRANSMITTER PRESSURE 4-20MA HART SS316,NOS,Instruments,320,46000,82
41007469,SWITCH LEVEL FLOAT SS316,NOS,Instruments,240,6200,63
41007728,PLT MS 10MM IS 2062,KG,Structural steel,128000,72,17698
41007987,HLMT SAFETY IS 2925,NOS,Safety and PPE,18000,340,2283
41008209,GOGGLES SAFETY CLEAR IS 5983,NOS,Safety and PPE,12000,180,2567
41008320,SHOES SAFETY LEATHER IS 15298,NOS,Safety and PPE,9600,1240,2690
41008431,OIL LUBE VG46 210,LTR,Lubricants,48000,218,10210
41008653,GREASE EP2 LITHIUM 18,KG,Lubricants,8600,310,2062
41008838,ELCT WELD E6013 3.15MM,KG,Welding,24000,96,5031
41008986,ELCT WELD E7018 4MM,KG,Welding,16000,128,4663
41009060,ELCT WELD E308L 3.15MM,KG,Welding,4200,420,1224
41009282,BRG BALL DG 6308 2RS SKF,NOS,Bearings,340,1010,95
41009541,BLT HEX SS304 M20X100 IS 1367,NOS,Fasteners,12000,168,1682
41009652,SIREN ELECTRONIC 230V IP65,NOS,Electrical,140,2400,25
41009726,STRIP EARTHING COPPER 25X3,MTR,Electrical,2400,640,363
41009874,LUMINAIRE LED 12W B22 6500K,NOS,Electrical,9800,145,2095
41009985,STRAINER Y TYPE CARBON STEEL 50NB CL150,NOS,Valves and fittings,140,4600,33
41010133,PACKING GLAND GRAPHITE 10MM,KG,Gaskets and seals,340,2100,67
41010244,PLATE CHEQUERED MILD STEEL 5MM IS 3502,KG,Structural steel,18000,74,4758
41010429,RAGS CLEANING WHITE BALE 50KG,KG,Safety and PPE,16000,68,2299
41010540,SWITCH LEVEL FLOAT 230V 1NO 1NC,NOS,Instruments,120,3400,28
41010614,BRG BALL DG 6200 2RS,NOS,Bearings,180,260,31
41010762,BRG BALL DG 6204 2RS,NOS,Bearings,460,600,63
41010910,BRG BALL DG 6212 2RS,NOS,Bearings,740,940,200
41011058,BRG BALL DG 6310 2RS,NOS,Bearings,1020,1280,187
41011169,PIP SMLS CS 25NB SCH40 IS 1239,MTR,Pipes and tubes,2480,860,482
41011317,PIP SMLS CS 80NB SCH40 IS 1239,MTR,Pipes and tubes,5040,2220,1235
41011576,TUBE SMLS SS304 16MM OD,MTR,Pipes and tubes,1060,755,231
41011724,TUBE SMLS SS304 50MM OD,MTR,Pipes and tubes,1940,1335,458
41011835,VLV GATE WCB 50NB CL150 FLGD IS 14846,NOS,Valves and fittings,200,13000,58
