Product No.,Product Description,Base UOM,Product Group,Annual Consumption,Valuation Price,Stock On Hand
1024100561,"BALL,BEARING,DEEP,GROOVE,6205,2RS",EA,Bearings,2260,420,958
1024100866,"BALL,BEARING,DEEP,GROOVE,6308,ZZ",EA,Bearings,640,980,222
1024101110,"SPHERICAL,ROLLER,BEARING,22220,CC,W33,SKF",EA,Bearings,240,12400,105
1024101354,"PLUMMER,BLOCK,BEARING,SN,517",EA,Bearings,210,4300,83
1024101537,"THRUST,BALL,BEARING,51110",EA,Bearings,175,1150,52
1024101842,"PIPE,SEAMLESS,CARBON,STEEL,100NB,SCH40,IS,1239",M,Pipes and tubes,9800,1250,3494
1024102269,"PIPE,SEAMLESS,CARBON,STEEL,200NB,SCH80,IS,1239",M,Pipes and tubes,2400,4650,707
1024102330,"PIPE,ERW,GALVANISED,IRON,50NB,IS,1239",M,Pipes and tubes,18700,480,8231
1024102574,"TUBE,SEAMLESS,SS304,25MM,OD",M,Pipes and tubes,3600,890,856
1024102696,"PIPE,HDPE,63MM,PN10,IS,4984",M,Pipes and tubes,26000,210,11420
1024103001,"VALVE,GATE,WCB,100NB,CL150,FLANGED,IS,14846",EA,Valves and fittings,480,18400,205
1024103367,"VALVE,BALL,SS316,50NB,CL300,THREADED",EA,Valves and fittings,640,9600,204
1024103489,"VALVE,CHECK,WCB,150NB,CL150,FLANGED",EA,Valves and fittings,260,21800,56
1024103611,"VALVE,BUTTERFLY,CAST,IRON,200NB,PN16",EA,Valves and fittings,380,12900,82
1024103855,"VALVE,SAFETY,RELIEF,SS316,25NB,CL300",EA,Valves and fittings,120,34500,49
1024104160,"FLANGE,CARBON,STEEL,100NB,CL150,WNRF,IS,6392",EA,Valves and fittings,2800,2260,643
1024104343,"BOLT,HEXAGONAL,MILD,STEEL,M20X100,8.8,IS,1367",EA,Fasteners,61000,46,11608
1024104770,"NUT,HEXAGONAL,MILD,STEEL,M20,8.8,IS,1363",EA,Fasteners,64000,14,17978
1024104892,"WASHER,SPRING,MILD,STEEL,M20,IS,3063",EA,Fasteners,72000,6,16611
1024105136,"SCREW,COUNTERSUNK,MILD,STEEL,M8X25",EA,Fasteners,38000,9,8579
