ITEM_NUMBER,ITEM_DESCRIPTION,PRIMARY_UOM,CATEGORY,ANNUAL_QTY,ITEM_COST,ONHAND_QTY
SL-MRO-40546,BALL BEARING DEEP GROOVE 6205 2RS FAG,PCS,Bearings,3110,420,1353
SL-MRO-40615,BALL BEARING DEEP GROOVE 6206 2RS FAG,PCS,Bearings,1240,510,814
SL-MRO-40661,BALL BEARING DEEP GROOVE 6308 ZZ,PCS,Bearings,880,980,436
SL-MRO-40753,SPHERICAL ROLLER BEARING 22220 CC W33,PCS,Bearings,520,12400,448
SL-MRO-40845,PLUMMER BLOCK BEARING SN 517,PCS,Bearings,340,4300,221
SL-MRO-40937,CYLINDRICAL ROLLER BEARING NU 220,PCS,Bearings,260,8600,152
SL-MRO-41029,PIPE SEAMLESS CARBON STEEL 100NB SCH40 IS 1239,RMT,Pipes and tubes,22400,1250,14278
SL-MRO-41098,PIPE SEAMLESS CARBON STEEL 150NB SCH40 IS 1239,RMT,Pipes and tubes,12600,2180,8567
SL-MRO-41213,PIPE ERW GALVANISED IRON 50NB IS 1239,RMT,Pipes and tubes,15300,480,12353
SL-MRO-41305,TUBE SEAMLESS SS304 25MM OD,RMT,Pipes and tubes,2900,890,2102
SL-MRO-41397,TUBE COPPER 12MM OD,RMT,Pipes and tubes,2200,640,1831
SL-MRO-41466,VALVE GATE WCB 100NB CL150 FLANGED IS 14846 KIRLOSKAR,PCS,Valves and fittings,910,18400,597
SL-MRO-41535,VALVE GLOBE WCB 80NB CL150 FLANGED IS 14846,PCS,Valves and fittings,520,14200,441
SL-MRO-41650,VALVE CHECK WCB 150NB CL150 FLANGED,PCS,Valves and fittings,410,21800,234
SL-MRO-41696,VALVE BUTTERFLY CAST IRON 200NB PN16,PCS,Valves and fittings,290,12900,249
SL-MRO-41811,ELBOW SEAMLESS CARBON STEEL 90 100NB SCH40,PCS,Valves and fittings,3100,1420,1639
SL-MRO-41903,FLANGE CARBON STEEL 100NB CL150 WNRF IS 6392,PCS,Valves and fittings,4400,2260,1975
