Material Code,Item Description,UOM,Organisation,Annual Consumption,Unit Cost
BHE21-045123,BEARING BALL DG 6205 2RS (SKF),PCS,BHEL,1620,435
BHE21-045130,BEARING BALL DG 6308 ZZ (NBC),PCS,BHEL,540,995
BHE21-045137,BEARING SPHERICAL ROLLER 22220 CC W33 (SKF),PCS,BHEL,205,12800
BHE21-045144,BEARING TAPER ROLLER 30206 (TIMKEN),PCS,BHEL,640,705
BHE21-045151,BEARING THRUST BALL 51110,PCS,BHEL,260,1180
BHE21-045158,PIPE SEAMLESS CS 100NB SCH40 IS:1239 (MSL),MTR,BHEL,11800,1290
BHE21-045165,PIPE SEAMLESS CS 150NB SCH40 IS:1239,MTR,BHEL,6400,2240
BHE21-045172,PIPE ERW GI 50NB IS:1239 (JINDAL),MTR,BHEL,14200,495
BHE21-045179,TUBE SEAMLESS SS304 25MM OD (RATNAMANI),MTR,BHEL,3100,915
BHE21-045186,VALVE GATE WCB 100NB CL150 FLANGED IS:14846 (KIRLOSKAR),PCS,BHEL,510,18900
BHE21-045193,VALVE BALL SS316 50NB CL300 THREADED (AUDCO),PCS,BHEL,620,9850
BHE21-045200,VALVE BUTTERFLY CI 200NB PN16,PCS,BHEL,240,13200
BHE21-045207,ELBOW SEAMLESS CS 90 100NB SCH40,PCS,BHEL,1900,1460
BHE21-045214,FLANGE CS 100NB CL150 WNRF IS:6392 (ECHJAY),PCS,BHEL,2900,2320
BHE21-045221,BOLT HEXAGONAL MS M20X100 8.8 IS:1367 (UNBRAKO),PCS,BHEL,72000,47
BHE21-045228,NUT HEXAGONAL MS M20 8.8 IS:1363 (UNBRAKO),PCS,BHEL,76000,15
BHE21-045235,WASHER SPRING MS M20 IS:3063,PCS,BHEL,64000,6
BHE21-045242,CABLE XLPE ARMOURED AL 3CX240 SQMM 1.1KV IS:7098,MTR,BHEL,10600,1210
BHE21-045249,CONTACTOR 3P 32A 415V (SIEMENS),PCS,BHEL,1400,2900
BHE21-045256,GASKET SPIRAL WOUND SS316 GRAPHITE 100NB CL150 (CHAMPION),PCS,BHEL,3400,655
BHE21-045263,MOTOR INDUCTION 3PH 10HP 415V B3 (CROMPTON),PCS,BHEL,320,43000
BHE21-045270,PRESSURE GAUGE 100MM DIAL 0-10BAR SS316,PCS,BHEL,1100,2450
BHE21-045277,ANGLE MS 50X50X6 IS:2062 (JSPL),KGS,BHEL,148000,68
BHE21-045284,HELMET SAFETY IS:2925 (KARAM),PCS,BHEL,21000,350
BHE21-045291,ELECTRODE WELDING E6013 3.15MM (ADOR),KGS,BHEL,26000,98
BHE21-045298,OIL LUBRICATING VG46 210 (SERVO),LTR,BHEL,28000,222
BHE21-045305,BEARING BALL DG 6208 2RS,PCS,BHEL,380,690
BHE21-045312,BEARING NEEDLE ROLLER NA 4910,PCS,BHEL,140,2350
BHE21-045319,BEARING PILLOW BLOCK UCP 210,PCS,BHEL,260,1480
BHE21-045326,PIPE SEAMLESS CS 350NB SCH40 IS:1239,MTR,BHEL,900,7400
BHE21-045333,TUBE SEAMLESS SS316 12MM OD,MTR,BHEL,1600,760
BHE21-045340,VALVE GATE WCB 300NB CL150 FLANGED IS:14846,PCS,BHEL,60,48000
BHE21-045347,VALVE DIAPHRAGM CI 80NB PN10,PCS,BHEL,180,7600
BHE21-045354,FLANGE CS 300NB CL150 WNRF IS:6392,PCS,BHEL,340,5100
BHE21-045361,GASKET SPIRAL WOUND SS316 GRAPHITE 300NB CL150,PCS,BHEL,420,1560
BHE21-045368,BOLT HEXAGONAL MS M36X180 8.8 IS:1367,PCS,BHEL,4200,410
BHE21-045375,CABLE XLPE ARMOURED AL 3CX400 SQMM 1.1KV IS:7098,MTR,BHEL,2600,1980
BHE21-045382,MOTOR INDUCTION 3PH 75HP 415V B3,PCS,BHEL,45,196000
BHE21-045389,PLATE MS 25MM IS:2062,KGS,BHEL,84000,74
BHE21-045396,ELECTRODE WELDING E7016 4MM,KGS,BHEL,7400,134
BHE21-045403,GREASE EP3 LITHIUM COMPLEX 18,KGS,BHEL,3600,368
