SKU,Material Description,Unit,Source Plant,Annual Volume,Unit Cost
CIL-78432,CABLE POWER 3.5CORE 16SQMM COPPER XLPE,NOS,Kolkata HQ,12500,420
CIL-78450,CABLE TELEPHONE 2PAIR 0.5MM COPPER PE,NOS,Kolkata HQ,8200,185
CIL-78461,CABLE ARMOURED 3CORE 120SQMM AL XLPE IS 7098,MTR,Kolkata HQ,3500,890
CIL-78512,CABLE CONTROL 7CORE 1.5SQMM COPPER XLPE,MTR,Kolkata HQ,2100,320
CIL-78644,VALVE GATE RISING STEM CAST STEON IS 14846,NOS,Kolkata HQ,180,24500
CIL-78678,VALVE GATE RISING STEM SS304 IS 14846,NOS,Kolkata HQ,120,38700
CIL-78790,BELT CONVEYOR EP800 1200MM 6PLY IS 1891,MTR,Kolkata HQ,890,2100
CIL-78801,PIPE SEAMLESS CARBON STEEL 150NB SCH40 IS 1239,MTR,Kolkata HQ,4500,1450
CIL-78821,PIPE SEAMLESS CARBON STEEL 80NB SCH80 IS 1239,MTR,Kolkata HQ,3200,890
CIL-78865,BEARING BALL DEEP GROOVE 6205 2RS,NOS,Kolkata HQ,560,285
CIL-78871,BEARING BALL DEEP GROOVE 6208 2RS,NOS,Kolkata HQ,420,480
CIL-78901,MOTOR FOOTMOUNTED INDUCTION 5.5KW 1440RPM IS 12675,NOS,Kolkata HQ,85,34500
CIL-78922,MOTOR FOOTMOUNTED INDUCTION 7.5KW 1440RPM IS 12675,NOS,Kolkata HQ,62,42500
CIL-78960,INSTRUMENT PRESSURE GAUGE DIAL 100MM 0-10KG/CM2 SS316,NOS,Kolkata HQ,290,2450
CIL-78982,GAUGE PRESSURE DIGITAL 0-16BAR 4-20MA OUTPUT,NOS,Kolkata HQ,110,5600
CIL-79011,HELMET SAFETY VENTILATED ISI MARK IS 2925,NOS,Kolkata HQ,4500,180
CIL-79022,GLOVES SAFETY LEATHER PALM GRAIN SIZE M,NOS,Kolkata HQ,3800,95
CIL-79044,SHOES SAFETY LEATHER STEEL TOE IS 15298 SIZE 8,NOS,Kolkata HQ,2200,890
CIL-79055,WELDING ELECTRODE E6010 3.15MM IS 814,NOS,Kolkata HQ,1750,420
CIL-79067,ELECTRODE WELDING E7018 4.0MM IS 814,NOS,Kolkata HQ,1100,560
