SKU,Material Description,Unit,Source Plant,Annual Volume,Unit Cost
600045123,PIPE - SEAMLESS CS - 100NB SCH40 - IS-1239,MTR,GAIL,9400,1310
600045131,PIPE - ERW GI - 50NB - IS-1239,MTR,GAIL,7200,505
600045139,PIPE - HDPE - 63MM PN10 - IS-4984,MTR,GAIL,18600,218
600045147,VALVE - GATE WCB - 150NB CL150 FLANGED - IS-14846,NOS,GAIL,210,23400
600045155,VALVE - BALL SS316 - 25NB CL300 THREADED,NOS,GAIL,460,5650
600045163,VALVE - CHECK WCB - 150NB CL150 FLANGED,NOS,GAIL,150,22400
600045171,VALVE - SAFETY RELIEF SS316 - 25NB CL300,NOS,GAIL,90,35800
600045179,FLANGE - CS - 150NB CL150 WNRF - IS-6392,NOS,GAIL,1240,2950
600045187,GASKET - SPIRAL WOUND SS316 GRAPHITE - 150NB CL150,NOS,GAIL,1600,1010
600045195,TRANSMITTER - PRESSURE 4-20MA HART SS316,NOS,GAIL,180,47500
600045203,PIPE - SEAMLESS CS - 100NB SCH80 - IS-1239,MTR,GAIL,3800,1740
600045211,PIPE - SEAMLESS CS - 250NB SCH80 - IS-1239,MTR,GAIL,1900,6200
600045219,PIPE - SEAMLESS SS316 - 100NB SCH40 - IS-1239,MTR,GAIL,1100,4850
600045227,VALVE - GATE WCB - 100NB CL300 FLANGED - IS-14846,NOS,GAIL,240,26800
600045235,VALVE - BALL SS316 - 100NB CL300 THREADED,NOS,GAIL,160,21400
600045243,VALVE - BALL SS304 - 50NB CL300 THREADED,NOS,GAIL,220,8700
600045251,GASKET - SPIRAL WOUND SS304 GRAPHITE - 100NB CL150,NOS,GAIL,2100,590
600045259,GASKET - SPIRAL WOUND SS316 GRAPHITE - 100NB CL300,NOS,GAIL,1450,780
600045267,FLANGE - CS - 100NB CL300 WNRF - IS-6392,NOS,GAIL,860,3180
600045275,ELBOW - SEAMLESS CS 90 - 65NB SCH40,NOS,GAIL,640,780
600045283,GAUGE - PRESSURE DIAL 100MM 0-250BAR SS316,NOS,GAIL,260,3100
600045291,TUBE - SEAMLESS SS316 - 25MM OD,MTR,GAIL,2400,1180
600045299,PIPE - SEAMLESS CS - 450NB - API-5L X60,MTR,GAIL,2800,11400
600045307,PIPE - SEAMLESS CS - 100NB - IS-1239,MTR,GAIL,2200,1290
600045315,VALVE - BALL FULL BORE CS - 600NB CL600 - API-6D,NOS,GAIL,24,486000
600045323,VALVE - PLUG LUBRICATED CS - 100NB CL300,NOS,GAIL,120,31500
600045331,FILTER - GAS CARTRIDGE SS316 - 5 MICRON,NOS,GAIL,340,4600
600045339,TRANSMITTER - FLOW ULTRASONIC 4-20MA - 200NB,NOS,GAIL,36,312000
600045347,VALVE - BALL SS316 - 150NB CL300 FLANGED,NOS,GAIL,110,38400
600045355,GASKET - RTJ OCTAGONAL SS316 - 100NB CL600,NOS,GAIL,780,1240
600045363,REDUCER - CONCENTRIC CS - 150NB TO 100NB SCH40,NOS,GAIL,420,1980
600045371,STRAINER - Y TYPE CS - 100NB CL150 FLANGED,NOS,GAIL,180,9400
600045379,CABLE - XLPE ARMOURED CU - 4CX6 SQMM 1.1KV - IS-7098,MTR,GAIL,4200,340
600045387,THERMOWELL - SS316 - 250MM STEM FLANGED,NOS,GAIL,220,5800
600045395,GASKET - CAF 3MM - 150NB CL150,NOS,GAIL,2600,240
600045403,GAUGE - PRESSURE DIAL 0-10BAR SS316,NOS,GAIL,540,2380
600045411,VALVE - BALL SS316 - 50NB CL300 SOCKET WELD,NOS,GAIL,340,10200
