Item Code,Description Text,Unit,Org,Qty,Price
45.1230.0087,brg ball dg 6205 2rs c3,nos,hal,1240,440
  45.1230.0094 ,  Bearing Ball Deep Groove 6206 2RS  , NOS ,HAL,860,530
45.1230.0101,"BOLT HEX MS M20X100, 8.8, IS 1367",Nos,HAL,42000,48
45.1230.0108,nut hex ms m20 8.8 is 1363,NOS,HAL,44000,15
   45.1230.0115,   WSHR SPRING MS M20 IS 3063   ,NOS,HAL,38000,7
45.1230.0122,GLOVES LEATHER HAND IS 6994,,HAL,18000,125
45.1230.0129,helmet safety is 2925,NUMBERS,HAL,9400,355
45.1230.0136,OIL LUBE VG46 210,LTRS,HAL,12000,225
45.1230.0143,ELCT WELD E6013 3.15MM,KGM,HAL,8600,99
45.1230.0150,SEAL OIL 45X65X10 NBR,NOS,HAL,TBC,255
45.1230.0157,"ORING NBR 50X3, VITON",NOS,HAL,6400,45
45.1230.0164,Goggles Safety Clear IS 5983,NOS,HAL,7200,185
45.1230.0171,SHOES SAFETY LEATHER IS 15298,PRS,HAL,5100,1290
45.1230.0178,cbl cu flexible 2cx2.5 sqmm 1.1kv,mtr,hal,16000,88
45.1230.0185,CONTACTOR 3P 32A 415V,NOS,HAL,640,2880

45.1230.0192,THERMOCOUPLE K TYPE 6MM 500MM SS316,NOS,HAL,310,3900
45.1230.0199,GREASE EP2 LITHIUM 18 KG TIN,KGS,HAL,4400,315
45.1230.0206,tube smls ss304 25mm od,MTR,HAL,1900,905
45.1230.0213,SCREW CSK MS M8X25,NOS,HAL,26000,10
45.1230.0220,,NOS,HAL,1200,220
45.1230.0227,STUD BLT SS304 M16X90,NOS,HAL,9400,132
45.1230.0234,BEARING ANGULAR CONTACT 7208 B,NOS,HAL,420,1860
45.1230.0241,rivet solid al 4x12,nos,hal,86000,4
45.1230.0248,SEALANT ANAEROBIC THREADLOCK 50ML,NOS,HAL,1400,640
45.1230.0255,LAMP LED 20W 240V,,HAL,3200,410
45.1230.0262,FILTER AIR PANEL 300X200X50,NOS,HAL,2600,1150
45.1230.0269,CABLE XLPE ARMD AL 3CX95 SQMM 1.1KV IS 7098,MTR,HAL,3400,730
45.1230.0276,plt ms 10mm is 2062 hr,KGS,HAL,64000,74
45.1230.0283,ANG MS 65X65X6 IS 2062,KGS,HAL,52000,69,
45.1230.0290,GAUGE PRESSURE DIAL 100MM 0-25BAR SS316,NOS,HAL,280,2050
45.1230.0297,ball brg 6205,nos,hal,540,455
45.1230.0304,  PIPE CS 100NB SCH40  ,MTRS,HAL,2200,1330
